barcode,location,author,title,publisher_code,status
32101,ME:EST,MUHAMMAD H RASHID,POWER ELECTRONICS,PREENTICE-HALLOFINDIAPRIVATELIMITED,Available
32102,ME:EST,NED MOHAN,POWER ELECTRONICS,JOHNWILEY&SONS,Available
32103,ME:EST,JOSE DUATO,INTERCONNECTION NETWORKS,ELS,Not for loan
32104,ME:EST,STEVE HEATH,EMEDDED SYSTEMS DESIGN,ELSEVIER,Not for loan
32105,ME:EST,SINGIRESU S RAO,THE FINITE ELEMENT METHOD IN ENGINEERING,"BUFFERWORTHHEINMANNLTD,.",Not for loan
32106,ME:EST,HARISH C RAI,A TEXT BOOK ON POWER ELECTRONICS,GAGOTIAPUBLICATIONSPVT.LTD.,Not for loan
32107,ME:EST,T AMARANATH,ELEMENTARY COURSE IN PARTIAL DIFFERENTIAL EQUATIONS,NAROSA,Available
32108,ME:EST,T AMARANATH,ELEMENTARY COURSE IN PARTIAL DIFFERENTIAL EQUATIONS,NAROSA,Not for loan
32109,ME:EST,A K MUKHOPADHYAY,MICROPROCESSOR MICROCOMPUTER AND THEIR APPLICATIONS,NAROSAPUBLISHINGHOUSE,Not for loan
32110,ME:EST,S RAMA REDDY,FUNDAMENTALS OF POWER ELECTRONICS,NAROSAPUBLISHINGHOUSE,Available
32111,ME:EST,RAKOSH DAS  BEGAMUDRE,EXTRA HIGH VOLTAGE A.C. TRANSMISSION ENGINEERING,NEWAGEINTERNATIONAL,Available
32112,ME:EST,M GOPAL,Modern Control System Theory,NEWAGEINTERNATIOALPUBLISHERS,Not for loan
32113,ME:EST,V R MOORTHI,POWER ELECTRONICS,OXFORDUNIVERCITYPRESS,Available
32114,ME:EST,GEORGE L KUSIC,COMPUTER - AIDED POWER SYSTEMS ANALYSIS,PRENTCIE-HALLOFINDIA,Not for loan
32115,ME:EST,S SALIVAHANAN,Digital Signal Processing,TATAMCGRAW-HILL,Not for loan
32116,ME:EST,S K BHATTA CHARYYA,FUNDAMENTALS OF POWER ELECTRONICS,VIKASPUBLISHERHOUSEPVTLTD,Available
32117,ME:EST,EMMANUEL C IFEACHOR,DIGITAL SIGNAL PROCESSING,PEARSONEDUCATION,Available
32118,ME:EST,FREDRIC S HILLIER,OPERATIONS RESCARCH,CBSPUBLISHER&DISTRIBUTORS,Not for loan
32119,ME:EST,PAUL C KRAUSE,ANALYSIS OF ELECTRIC MACHINERY AND DRIVE SYSTEMS,WILEYINTERSCIENCE,Not for loan
32120,ME:EST,RAVINDRAN,OPERATIONS RESEARCH,WILEY,Available
32121,ME:EST,JOHN G PROAKIS,DIGITAL SIGNAL PROCESSING,PEARSIONEDUCATION,Not for loan
32122,ME:EST,D ROY CHOUDHURY,MODERN CONTROL ENGINEERING,PRENTCIE-HALLOFINDIA,Not for loan
32123,ME:EST,K B DATTA,MATRIX AND LINEAR ALGEBRA,PRENTICEHALLOFINDIA,Not for loan
32124,ME:EST,N K DE,ELECTRIC DRIVES,"PRENTICE-HALLOFINDIAPVT.LTD,.",Not for loan
32125,ME:EST,BISWANATH PAUL,INDUSTRIAL ELECTRONICS AND CONTROL,PRENTICEHALLOFINDIA,Not for loan
32126,ME:EST,MUHAMMAD H RASHID,INTRODUCTION TO PSPICE USING ORCAD,PRENTICE-HALLOFINDIAPVT.LTD,Available
32127,ME:EST,MUHAMMAD H RASHID,INTRODUCTION TO PSPICE USING ORCAD,PRENTICE-HALLOFINDIAPVT.LTD,Not for loan
32128,ME:EST,K SANKARA RAO,INTRODUCTION TO PARTIAL DIFFERENTIAL EQUATIONS,PRENTICE-HALL,Not for loan
32129,ME:EST,ROBERT J SCHILLING,Fundamentals Of Robotics,"PRENTICEHALL,NEWDELHI",Not for loan
32130,ME:EST,RAJENDRA BHATIA,MATRIX ANALYSIS,SPRINGER,Not for loan
32131,ME:EST,H S KASANA,INTRODUCTION TO OPERATIONS RESEACH,SPRINGER,Not for loan
32132,ME:EST,PAUL B ZBAR,INDUSTRIAL ELECTRONICS,TATAMCGRAW-HILL,Not for loan
32134,ME:EST,ASHFAQ AHMED,POWER ELECTERONICS FOR TECHNOLOGY,PEARSONEDUCATION,Not for loan
32135,ME:EST,W SHEPHERD,POWER ELECTRONICS AND MOTOR CONTROL,CAMBRIDGEUNIVERSITYPRESS,Not for loan
32136,ME:EST,WAYNE L WINSTON,OPERATIONS RESEARCH,THOMSONBROOKSCOLE,Available
32137,ME:EST,RICHARD BRONSON,THEROY AND PROBLEMS OF MATRIX OPERATIONS,TATAMCGRAW-HILL,Not for loan
32138,ME:EST,HILLIER,INTRODUCTION TO OPERATIONS RESEARCH,TATAMCGRAW-HILL,Not for loan
32139,ME:EST,DAVID V HUTTON,FUNDAMENTALS OF FINITE ELEMENT ANALYSIS,TATAMCGRAW-HILL,Not for loan
32140,ME:EST,JAMES E BRUMBAUGH,HVAC FUNDAMENTALS VOL 3,"WILEYPUBLISHING,INC.",Not for loan
32141,ME:EST,REX MILLER,SMALL ELECTRIC MOTORS,WILEYDREAMTECHINDIAPVTLTD,Not for loan
32142,ME:EST,REX MILLER,ELECTRIC MOTORS,"WILEYPUBLISHING,INC.",Available
32143,ME:EST,REX MILLER,ELECTRIC MOTORS,"WILEYPUBLISHING,INC.",Not for loan
32144,ME:EST,JACEK M ZURADA,INTRODUTION TO ARTIFICIAL NEURAL SYSTEMS,JAICOPUBLISHINGHOUSE,Not for loan
32145,ME:EST,S KALAVATHY,OPERATIONS RESEARCH,VIKASPUBLISHINGHOUSPVTLTD,Available
32147,CSE,N B VENKATESWARLU,INTRODUCTION TO LINUX,BSPUBLICATIONS,Not for loan
32151,CSE,DIMITRI BERTSEKAS,Data Networks,PREENTICE-HALLOFINDIAPRIVATELIMITED,Available
32152,CSE,DIMITRI BERTSEKAS,Data Networks,PREENTICE-HALLOFINDIAPRIVATELIMITED,Available
32153,CSE,DIMITRI BERTSEKAS,Data Networks,PREENTICE-HALLOFINDIAPRIVATELIMITED,Available
32154,CSE,DIMITRI BERTSEKAS,Data Networks,PREENTICE-HALLOFINDIAPRIVATELIMITED,Not for loan
32155,EEE,CYRIL W LANDER,POWER ELECTRONICS,MCGRAW-HILL,Available
32156,EEE,CYRIL W LANDER,POWER ELECTRONICS,MCGRAW-HILL,Available
32157,EEE,CYRIL W LANDER,POWER ELECTRONICS,MCGRAW-HILL,Available
32158,EEE,V R MOORTHI,POWER ELECTRONIC,OXFORDUNIVERCITYPRESS,Available
32159,EEE,V R MOORTHI,POWER ELECTRONIC,OXFORDUNIVERCITYPRESS,Available
32160,EEE,V R MOORTHI,POWER ELECTRONIC,OXFORDUNIVERCITYPRESS,Available
32161,EEE,V R MOORTHI,POWER ELECTRONIC,OXFORDUNIVERCITYPRESS,Available
32162,EEE,V R MOORTHI,POWER ELECTRONIC,OXFORDUNIVERCITYPRESS,Not for loan
32163,MATHS,A S GUPTA,CALCULUS OF VARIATIONS WITH APPLICATIONS,PRENTICEHALL,Available
32164,MATHS,A S GUPTA,CALCULUS OF VARIATIONS WITH APPLICATIONS,PRENTICEHALL,Available
32165,ME:STE,A S GUPTA,CALCULUS OF VARIATIONS WITH APPLICATIONS,PRENTICEHALL,Not for loan
32166,ME:EST,PREM KUMAR GUPTA,OPERATIONS RESEARCH,SCHAND&CO,Available
32167,ME:EST,PREM KUMAR GUPTA,OPERATIONS RESEARCH,SCHAND&CO,Available
32168,ME:EST,PREM KUMAR GUPTA,OPERATIONS RESEARCH,SCHAND&CO,Not for loan
32169,EEE,P C SEN,Principles Of Electric Machines And Power Electronics,JOHNWILEY&SONS(ASIA)pTE.LTD,Not for loan
32170,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Available
32171,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Available
32172,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Available
32173,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Available
32174,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Available
32175,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Available
32176,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Available
32177,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Available
32178,EEE,GOPAL K DUBEY,Fundamentals Of Electric Drives,NAROSAPUBLISHINGHOUSE,Not for loan
32179,CSE,WAMAN S JAWADEKAR,Software Engineering,TATAMCGRAWHILLPUBLISHINGCOMPANNYLTD,Available
32180,CSE,MICHAEL SLATER,MICROPROCESSOR- BASED DESIGN,PRENTICEHALLOFINDIAPRIVATELIMITED,Available
32181,CSE,MICHAEL SLATER,MICROPROCESSOR- BASED DESIGN,PRENTICEHALLOFINDIAPRIVATELIMITED,Available
32182,CSE,MICHAEL SLATER,MICROPROCESSOR- BASED DESIGN,PRENTICEHALLOFINDIAPRIVATELIMITED,Not for loan
32183,EEE,P C SEN,MODERN POWER ELECTRONICS,SCHANDANDCO,Available
32184,EEE,P C SEN,MODERN POWER ELECTRONICS,SCHANDANDCO,Available
